Allele	Caucasian	African	Asian
hla_dpa1_01_03	0.1	0.1	0.1
hla_dpa1_01_04	0.1	0.1	0.1
hla_dpa1_01_06	0.1	0.1	0.1
hla_dpa1_01_100	0.1	0.1	0.1
hla_dpa1_01_104	0.1	0.1	0.1
hla_dpa1_01_107	0.1	0.1	0.1
hla_dpa1_01_12	0.1	0.1	0.1
hla_dpa1_01_125	0.1	0.1	0.1
hla_dpa1_01_141	0.1	0.1	0.1
hla_dpa1_01_18	0.1	0.1	0.1
hla_dpa1_01_19	0.1	0.1	0.1
hla_dpa1_01_30	0.1	0.1	0.1
hla_dpa1_01_33	0.1	0.1	0.1
hla_dpa1_01_42	0.1	0.1	0.1
hla_dpa1_01_44	0.1	0.1	0.1
hla_dpa1_01_57	0.1	0.1	0.1
hla_dpa1_01_58	0.1	0.1	0.1
hla_dpa1_01_60	0.1	0.1	0.1
hla_dpa1_01_61	0.1	0.1	0.1
hla_dpa1_01_62	0.1	0.1	0.1
hla_dpa1_01_77	0.1	0.1	0.1
hla_dpa1_01_87q	0.1	0.1	0.1
hla_dpa1_01_91	0.1	0.1	0.1
hla_dpa1_02_01	0.1	0.1	0.1
hla_dpa1_02_02	0.1	0.1	0.1
hla_dpa1_02_06	0.1	0.1	0.1
hla_dpa1_02_07	0.1	0.1	0.1
hla_dpa1_02_09	0.1	0.1	0.1
hla_dpa1_02_12	0.1	0.1	0.1
hla_dpa1_02_17	0.1	0.1	0.1
hla_dpa1_02_26	0.1	0.1	0.1
hla_dpa1_02_30	0.1	0.1	0.1
hla_dpa1_02_31	0.1	0.1	0.1
hla_dpa1_02_43	0.1	0.1	0.1
hla_dpa1_02_46	0.1	0.1	0.1
hla_dpa1_02_49	0.1	0.1	0.1
hla_dpa1_02_55	0.1	0.1	0.1
hla_dpa1_02_57	0.1	0.1	0.1
hla_dpa1_02_59	0.1	0.1	0.1
hla_dpa1_02_66	0.1	0.1	0.1
hla_dpa1_02_70	0.1	0.1	0.1
hla_dpa1_02_81	0.1	0.1	0.1
hla_dpa1_02_86	0.1	0.1	0.1
hla_dpa1_02_97	0.1	0.1	0.1
hla_dpa1_03_01	0.1	0.1	0.1
hla_dpa1_03_05	0.1	0.1	0.1
hla_dpa1_03_08	0.1	0.1	0.1
hla_dpa1_04_01	0.1	0.1	0.1
hla_dpa1_04_02	0.1	0.1	0.1
hla_dpa2_01_01	0.1	0.1	0.1
hla_dpa2_02_01	0.1	0.1	0.1
hla_dpb1_01_01	0.1	0.1	0.1
hla_dpb1_02_01	0.1	0.1	0.1
hla_dpb1_02_02	0.1	0.1	0.1
hla_dpb1_03_01	0.1	0.1	0.1
hla_dpb1_04_01	0.1	0.1	0.1
hla_dpb1_04_02	0.1	0.1	0.1
hla_dpb1_05_01	0.1	0.1	0.1
hla_dpb1_06_01	0.1	0.1	0.1
hla_dpb1_09_01	0.1	0.1	0.1
hla_dpb1_10_01	0.1	0.1	0.1
hla_dpb1_1037_01	0.1	0.1	0.1
hla_dpb1_104_01	0.1	0.1	0.1
hla_dpb1_105_01	0.1	0.1	0.1
hla_dpb1_106_01	0.1	0.1	0.1
hla_dpb1_107_01	0.1	0.1	0.1
hla_dpb1_1071_01	0.1	0.1	0.1
hla_dpb1_1082_01	0.1	0.1	0.1
hla_dpb1_1088_01	0.1	0.1	0.1
hla_dpb1_109_01	0.1	0.1	0.1
hla_dpb1_11_01	0.1	0.1	0.1
hla_dpb1_1102_01	0.1	0.1	0.1
hla_dpb1_1109_01	0.1	0.1	0.1
hla_dpb1_1117_01	0.1	0.1	0.1
hla_dpb1_1128_01	0.1	0.1	0.1
hla_dpb1_1129_01	0.1	0.1	0.1
hla_dpb1_1130_01	0.1	0.1	0.1
hla_dpb1_1131_01	0.1	0.1	0.1
hla_dpb1_1132_01	0.1	0.1	0.1
hla_dpb1_1133_01	0.1	0.1	0.1
hla_dpb1_1139_01	0.1	0.1	0.1
hla_dpb1_1144_01	0.1	0.1	0.1
hla_dpb1_1147_01	0.1	0.1	0.1
hla_dpb1_115_01	0.1	0.1	0.1
hla_dpb1_1155_01	0.1	0.1	0.1
hla_dpb1_1158_01	0.1	0.1	0.1
hla_dpb1_1167_01	0.1	0.1	0.1
hla_dpb1_1188_01	0.1	0.1	0.1
hla_dpb1_1208_01	0.1	0.1	0.1
hla_dpb1_1226_01	0.1	0.1	0.1
hla_dpb1_1238_01	0.1	0.1	0.1
hla_dpb1_124_01	0.1	0.1	0.1
hla_dpb1_1243_01	0.1	0.1	0.1
hla_dpb1_1246_01	0.1	0.1	0.1
hla_dpb1_126_01	0.1	0.1	0.1
hla_dpb1_1261_01	0.1	0.1	0.1
hla_dpb1_127_01	0.1	0.1	0.1
hla_dpb1_1275_01n	0.1	0.1	0.1
hla_dpb1_128_01	0.1	0.1	0.1
hla_dpb1_1284_01	0.1	0.1	0.1
hla_dpb1_1290_01	0.1	0.1	0.1
hla_dpb1_130_01	0.1	0.1	0.1
hla_dpb1_13_01	0.1	0.1	0.1
hla_dpb1_131_01	0.1	0.1	0.1
hla_dpb1_1323_01	0.1	0.1	0.1
hla_dpb1_133_01	0.1	0.1	0.1
hla_dpb1_1332_01n	0.1	0.1	0.1
hla_dpb1_1345_01	0.1	0.1	0.1
hla_dpb1_135_01	0.1	0.1	0.1
hla_dpb1_1360_01	0.1	0.1	0.1
hla_dpb1_136_01	0.1	0.1	0.1
hla_dpb1_1366_01	0.1	0.1	0.1
hla_dpb1_1367_01	0.1	0.1	0.1
hla_dpb1_1369_01	0.1	0.1	0.1
hla_dpb1_1372_01	0.1	0.1	0.1
hla_dpb1_1377_01	0.1	0.1	0.1
hla_dpb1_138_01	0.1	0.1	0.1
hla_dpb1_1387_01	0.1	0.1	0.1
hla_dpb1_1392_01	0.1	0.1	0.1
hla_dpb1_1396_01	0.1	0.1	0.1
hla_dpb1_1398_01n	0.1	0.1	0.1
hla_dpb1_1400_01	0.1	0.1	0.1
hla_dpb1_14_01	0.1	0.1	0.1
hla_dpb1_141_01	0.1	0.1	0.1
hla_dpb1_1415_01n	0.1	0.1	0.1
hla_dpb1_1423_01n	0.1	0.1	0.1
hla_dpb1_146_01	0.1	0.1	0.1
hla_dpb1_1465_01	0.1	0.1	0.1
hla_dpb1_15_01	0.1	0.1	0.1
hla_dpb1_16_01	0.1	0.1	0.1
hla_dpb1_162_01	0.1	0.1	0.1
hla_dpb1_17_01	0.1	0.1	0.1
hla_dpb1_178_01	0.1	0.1	0.1
hla_dpb1_18_01	0.1	0.1	0.1
hla_dpb1_184_01	0.1	0.1	0.1
hla_dpb1_187_01	0.1	0.1	0.1
hla_dpb1_190_01	0.1	0.1	0.1
hla_dpb1_19_01	0.1	0.1	0.1
hla_dpb1_191_01	0.1	0.1	0.1
hla_dpb1_20_01	0.1	0.1	0.1
hla_dpb1_208_01	0.1	0.1	0.1
hla_dpb1_21_01	0.1	0.1	0.1
hla_dpb1_22_01	0.1	0.1	0.1
hla_dpb1_23_01	0.1	0.1	0.1
hla_dpb1_236_01	0.1	0.1	0.1
hla_dpb1_24_01	0.1	0.1	0.1
hla_dpb1_244_01	0.1	0.1	0.1
hla_dpb1_25_01	0.1	0.1	0.1
hla_dpb1_260_01	0.1	0.1	0.1
hla_dpb1_26_01	0.1	0.1	0.1
hla_dpb1_27_01	0.1	0.1	0.1
hla_dpb1_28_01	0.1	0.1	0.1
hla_dpb1_29_01	0.1	0.1	0.1
hla_dpb1_296_01	0.1	0.1	0.1
hla_dpb1_30_01	0.1	0.1	0.1
hla_dpb1_31_01	0.1	0.1	0.1
hla_dpb1_328_01n	0.1	0.1	0.1
hla_dpb1_33_01	0.1	0.1	0.1
hla_dpb1_34_01	0.1	0.1	0.1
hla_dpb1_350_01	0.1	0.1	0.1
hla_dpb1_35_01	0.1	0.1	0.1
hla_dpb1_352_01	0.1	0.1	0.1
hla_dpb1_36_01	0.1	0.1	0.1
hla_dpb1_369_01	0.1	0.1	0.1
hla_dpb1_38_01	0.1	0.1	0.1
hla_dpb1_39_01	0.1	0.1	0.1
hla_dpb1_398_01	0.1	0.1	0.1
hla_dpb1_40_01	0.1	0.1	0.1
hla_dpb1_41_01	0.1	0.1	0.1
hla_dpb1_414_01	0.1	0.1	0.1
hla_dpb1_415_01	0.1	0.1	0.1
hla_dpb1_416_01	0.1	0.1	0.1
hla_dpb1_417_01	0.1	0.1	0.1
hla_dpb1_45_01	0.1	0.1	0.1
hla_dpb1_460_01	0.1	0.1	0.1
hla_dpb1_46_01	0.1	0.1	0.1
hla_dpb1_47_01	0.1	0.1	0.1
hla_dpb1_48_01	0.1	0.1	0.1
hla_dpb1_49_01	0.1	0.1	0.1
hla_dpb1_498_01	0.1	0.1	0.1
hla_dpb1_50_01	0.1	0.1	0.1
hla_dpb1_51_01	0.1	0.1	0.1
hla_dpb1_519_01	0.1	0.1	0.1
hla_dpb1_52_01	0.1	0.1	0.1
hla_dpb1_53_01	0.1	0.1	0.1
hla_dpb1_535_01	0.1	0.1	0.1
hla_dpb1_54_01	0.1	0.1	0.1
hla_dpb1_55_01	0.1	0.1	0.1
hla_dpb1_57_01	0.1	0.1	0.1
hla_dpb1_572_01	0.1	0.1	0.1
hla_dpb1_584_01	0.1	0.1	0.1
hla_dpb1_585_01	0.1	0.1	0.1
hla_dpb1_59_01	0.1	0.1	0.1
hla_dpb1_63_01	0.1	0.1	0.1
hla_dpb1_64_01n	0.1	0.1	0.1
hla_dpb1_651_01	0.1	0.1	0.1
hla_dpb1_652_01	0.1	0.1	0.1
hla_dpb1_665_01	0.1	0.1	0.1
hla_dpb1_668_01	0.1	0.1	0.1
hla_dpb1_670_01	0.1	0.1	0.1
hla_dpb1_671_01	0.1	0.1	0.1
hla_dpb1_672_01	0.1	0.1	0.1
hla_dpb1_674_01	0.1	0.1	0.1
hla_dpb1_675_01	0.1	0.1	0.1
hla_dpb1_676_01	0.1	0.1	0.1
hla_dpb1_677_01	0.1	0.1	0.1
hla_dpb1_678_01	0.1	0.1	0.1
hla_dpb1_69_01	0.1	0.1	0.1
hla_dpb1_699_01	0.1	0.1	0.1
hla_dpb1_700_01n	0.1	0.1	0.1
hla_dpb1_701_01	0.1	0.1	0.1
hla_dpb1_702_01	0.1	0.1	0.1
hla_dpb1_704_01	0.1	0.1	0.1
hla_dpb1_705_01	0.1	0.1	0.1
hla_dpb1_706_01	0.1	0.1	0.1
hla_dpb1_71_01	0.1	0.1	0.1
hla_dpb1_72_01	0.1	0.1	0.1
hla_dpb1_724_01n	0.1	0.1	0.1
hla_dpb1_726_01	0.1	0.1	0.1
hla_dpb1_728_01	0.1	0.1	0.1
hla_dpb1_736_01	0.1	0.1	0.1
hla_dpb1_757_01	0.1	0.1	0.1
hla_dpb1_76_01	0.1	0.1	0.1
hla_dpb1_762_01	0.1	0.1	0.1
hla_dpb1_77_01	0.1	0.1	0.1
hla_dpb1_78_01	0.1	0.1	0.1
hla_dpb1_783_01	0.1	0.1	0.1
hla_dpb1_784_01	0.1	0.1	0.1
hla_dpb1_786_01	0.1	0.1	0.1
hla_dpb1_80_01	0.1	0.1	0.1
hla_dpb1_804_01	0.1	0.1	0.1
hla_dpb1_806_01	0.1	0.1	0.1
hla_dpb1_809_01	0.1	0.1	0.1
hla_dpb1_81_01	0.1	0.1	0.1
hla_dpb1_819_01	0.1	0.1	0.1
hla_dpb1_823_01	0.1	0.1	0.1
hla_dpb1_835_01	0.1	0.1	0.1
hla_dpb1_849_01	0.1	0.1	0.1
hla_dpb1_85_01	0.1	0.1	0.1
hla_dpb1_878_01n	0.1	0.1	0.1
hla_dpb1_880_01	0.1	0.1	0.1
hla_dpb1_88_01	0.1	0.1	0.1
hla_dpb1_881_01	0.1	0.1	0.1
hla_dpb1_882_01	0.1	0.1	0.1
hla_dpb1_90_01	0.1	0.1	0.1
hla_dpb1_905_01	0.1	0.1	0.1
hla_dpb1_91_01	0.1	0.1	0.1
hla_dpb1_93_01	0.1	0.1	0.1
hla_dpb1_946_01	0.1	0.1	0.1
hla_dpb1_947_01	0.1	0.1	0.1
hla_dpb1_949_01	0.1	0.1	0.1
hla_dpb1_950_01n	0.1	0.1	0.1
hla_dpb1_951_01	0.1	0.1	0.1
hla_dpb1_953_01	0.1	0.1	0.1
hla_dpb1_954_01	0.1	0.1	0.1
hla_dpb1_955_01	0.1	0.1	0.1
hla_dpb1_956_01	0.1	0.1	0.1
hla_dpb1_966_01	0.1	0.1	0.1
hla_dpb1_967_01	0.1	0.1	0.1
hla_dpb1_968_01	0.1	0.1	0.1
hla_dpb1_978_01	0.1	0.1	0.1
hla_dpb2_01_01	0.1	0.1	0.1
hla_dqa1_01_01	0.1	0.1	0.1
hla_dqa1_01_02	0.1	0.1	0.1
hla_dqa1_01_03	0.1	0.1	0.1
hla_dqa1_01_04	0.1	0.1	0.1
hla_dqa1_01_05	0.1	0.1	0.1
hla_dqa1_01_06	0.1	0.1	0.1
hla_dqa1_01_07q	0.1	0.1	0.1
hla_dqa1_01_100	0.1	0.1	0.1
hla_dqa1_01_106	0.1	0.1	0.1
hla_dqa1_01_12	0.1	0.1	0.1
hla_dqa1_01_19	0.1	0.1	0.1
hla_dqa1_01_22	0.1	0.1	0.1
hla_dqa1_01_25	0.1	0.1	0.1
hla_dqa1_01_27	0.1	0.1	0.1
hla_dqa1_01_30	0.1	0.1	0.1
hla_dqa1_01_38	0.1	0.1	0.1
hla_dqa1_01_43	0.1	0.1	0.1
hla_dqa1_01_45	0.1	0.1	0.1
hla_dqa1_01_51	0.1	0.1	0.1
hla_dqa1_01_54	0.1	0.1	0.1
hla_dqa1_01_63	0.1	0.1	0.1
hla_dqa1_01_82	0.1	0.1	0.1
hla_dqa1_02_01	0.1	0.1	0.1
hla_dqa1_02_11	0.1	0.1	0.1
hla_dqa1_02_19	0.1	0.1	0.1
hla_dqa1_03_01	0.1	0.1	0.1
hla_dqa1_03_02	0.1	0.1	0.1
hla_dqa1_03_03	0.1	0.1	0.1
hla_dqa1_03_10	0.1	0.1	0.1
hla_dqa1_03_13	0.1	0.1	0.1
hla_dqa1_03_20	0.1	0.1	0.1
hla_dqa1_04_01	0.1	0.1	0.1
hla_dqa1_04_02	0.1	0.1	0.1
hla_dqa1_04_04	0.1	0.1	0.1
hla_dqa1_04_07	0.1	0.1	0.1
hla_dqa1_05_01	0.1	0.1	0.1
hla_dqa1_05_02	0.1	0.1	0.1
hla_dqa1_05_03	0.1	0.1	0.1
hla_dqa1_05_05	0.1	0.1	0.1
hla_dqa1_05_06	0.1	0.1	0.1
hla_dqa1_05_07	0.1	0.1	0.1
hla_dqa1_05_08	0.1	0.1	0.1
hla_dqa1_05_09	0.1	0.1	0.1
hla_dqa1_05_11	0.1	0.1	0.1
hla_dqa1_05_13	0.1	0.1	0.1
hla_dqa1_05_25	0.1	0.1	0.1
hla_dqa1_05_33	0.1	0.1	0.1
hla_dqa1_05_51	0.1	0.1	0.1
hla_dqa1_06_01	0.1	0.1	0.1
hla_dqa1_06_03	0.1	0.1	0.1
hla_dqa2_01_01	0.1	0.1	0.1
hla_dqa2_01_02	0.1	0.1	0.1
hla_dqa2_01_03	0.1	0.1	0.1
hla_dqa2_01_04	0.1	0.1	0.1
hla_dqa2_01_07	0.1	0.1	0.1
hla_dqb1_02_01	0.1	0.1	0.1
hla_dqb1_02_02	0.1	0.1	0.1
hla_dqb1_02_04	0.1	0.1	0.1
hla_dqb1_02_07	0.1	0.1	0.1
hla_dqb1_02_10	0.1	0.1	0.1
hla_dqb1_02_105	0.1	0.1	0.1
hla_dqb1_02_12	0.1	0.1	0.1
hla_dqb1_02_122	0.1	0.1	0.1
hla_dqb1_02_14	0.1	0.1	0.1
hla_dqb1_02_142	0.1	0.1	0.1
hla_dqb1_02_156	0.1	0.1	0.1
hla_dqb1_02_163n	0.1	0.1	0.1
hla_dqb1_02_180	0.1	0.1	0.1
hla_dqb1_02_186	0.1	0.1	0.1
hla_dqb1_02_190	0.1	0.1	0.1
hla_dqb1_02_192	0.1	0.1	0.1
hla_dqb1_02_198	0.1	0.1	0.1
hla_dqb1_02_20	0.1	0.1	0.1
hla_dqb1_02_200	0.1	0.1	0.1
hla_dqb1_02_26	0.1	0.1	0.1
hla_dqb1_02_53q	0.1	0.1	0.1
hla_dqb1_02_59	0.1	0.1	0.1
hla_dqb1_02_62	0.1	0.1	0.1
hla_dqb1_02_93	0.1	0.1	0.1
hla_dqb1_03_01	0.1	0.1	0.1
hla_dqb1_03_02	0.1	0.1	0.1
hla_dqb1_03_03	0.1	0.1	0.1
hla_dqb1_03_04	0.1	0.1	0.1
hla_dqb1_03_05	0.1	0.1	0.1
hla_dqb1_03_08	0.1	0.1	0.1
hla_dqb1_03_09	0.1	0.1	0.1
hla_dqb1_03_10	0.1	0.1	0.1
hla_dqb1_03_11	0.1	0.1	0.1
hla_dqb1_03_114	0.1	0.1	0.1
hla_dqb1_03_115	0.1	0.1	0.1
hla_dqb1_03_12	0.1	0.1	0.1
hla_dqb1_03_126	0.1	0.1	0.1
hla_dqb1_03_13	0.1	0.1	0.1
hla_dqb1_03_150	0.1	0.1	0.1
hla_dqb1_03_187	0.1	0.1	0.1
hla_dqb1_03_19	0.1	0.1	0.1
hla_dqb1_03_191	0.1	0.1	0.1
hla_dqb1_03_195	0.1	0.1	0.1
hla_dqb1_03_196	0.1	0.1	0.1
hla_dqb1_03_197q	0.1	0.1	0.1
hla_dqb1_03_21	0.1	0.1	0.1
hla_dqb1_03_211	0.1	0.1	0.1
hla_dqb1_03_22	0.1	0.1	0.1
hla_dqb1_03_229	0.1	0.1	0.1
hla_dqb1_03_239	0.1	0.1	0.1
hla_dqb1_03_243	0.1	0.1	0.1
