Allele	Caucasian	African	Asian
hla_dqb1_03_245	0.1	0.1	0.1
hla_dqb1_03_246	0.1	0.1	0.1
hla_dqb1_03_247	0.1	0.1	0.1
hla_dqb1_03_25	0.1	0.1	0.1
hla_dqb1_03_263	0.1	0.1	0.1
hla_dqb1_03_284	0.1	0.1	0.1
hla_dqb1_03_289	0.1	0.1	0.1
hla_dqb1_03_29	0.1	0.1	0.1
hla_dqb1_03_290	0.1	0.1	0.1
hla_dqb1_03_31	0.1	0.1	0.1
hla_dqb1_03_312	0.1	0.1	0.1
hla_dqb1_03_37	0.1	0.1	0.1
hla_dqb1_03_40	0.1	0.1	0.1
hla_dqb1_03_400n	0.1	0.1	0.1
hla_dqb1_03_416	0.1	0.1	0.1
hla_dqb1_03_42	0.1	0.1	0.1
hla_dqb1_03_433	0.1	0.1	0.1
hla_dqb1_03_442	0.1	0.1	0.1
hla_dqb1_03_445	0.1	0.1	0.1
hla_dqb1_03_453	0.1	0.1	0.1
hla_dqb1_03_458	0.1	0.1	0.1
hla_dqb1_03_467	0.1	0.1	0.1
hla_dqb1_03_469	0.1	0.1	0.1
hla_dqb1_03_470	0.1	0.1	0.1
hla_dqb1_03_49	0.1	0.1	0.1
hla_dqb1_03_501	0.1	0.1	0.1
hla_dqb1_03_55	0.1	0.1	0.1
hla_dqb1_03_68	0.1	0.1	0.1
hla_dqb1_03_71	0.1	0.1	0.1
hla_dqb1_03_72	0.1	0.1	0.1
hla_dqb1_04_01	0.1	0.1	0.1
hla_dqb1_04_02	0.1	0.1	0.1
hla_dqb1_04_04	0.1	0.1	0.1
hla_dqb1_04_11	0.1	0.1	0.1
hla_dqb1_04_13	0.1	0.1	0.1
hla_dqb1_04_32	0.1	0.1	0.1
hla_dqb1_04_41n	0.1	0.1	0.1
hla_dqb1_04_51	0.1	0.1	0.1
hla_dqb1_04_52	0.1	0.1	0.1
hla_dqb1_04_59n	0.1	0.1	0.1
hla_dqb1_04_72	0.1	0.1	0.1
hla_dqb1_05_01	0.1	0.1	0.1
hla_dqb1_05_02	0.1	0.1	0.1
hla_dqb1_05_03	0.1	0.1	0.1
hla_dqb1_05_04	0.1	0.1	0.1
hla_dqb1_05_08	0.1	0.1	0.1
hla_dqb1_05_10	0.1	0.1	0.1
hla_dqb1_05_103	0.1	0.1	0.1
hla_dqb1_05_104	0.1	0.1	0.1
hla_dqb1_05_106	0.1	0.1	0.1
hla_dqb1_05_107	0.1	0.1	0.1
hla_dqb1_05_108	0.1	0.1	0.1
hla_dqb1_05_12	0.1	0.1	0.1
hla_dqb1_05_132q	0.1	0.1	0.1
hla_dqb1_05_133	0.1	0.1	0.1
hla_dqb1_05_14	0.1	0.1	0.1
hla_dqb1_05_152	0.1	0.1	0.1
hla_dqb1_05_159	0.1	0.1	0.1
hla_dqb1_05_160	0.1	0.1	0.1
hla_dqb1_05_176	0.1	0.1	0.1
hla_dqb1_05_18	0.1	0.1	0.1
hla_dqb1_05_183	0.1	0.1	0.1
hla_dqb1_05_211	0.1	0.1	0.1
hla_dqb1_05_226	0.1	0.1	0.1
hla_dqb1_05_23	0.1	0.1	0.1
hla_dqb1_05_250	0.1	0.1	0.1
hla_dqb1_05_257	0.1	0.1	0.1
hla_dqb1_05_269	0.1	0.1	0.1
hla_dqb1_05_27	0.1	0.1	0.1
hla_dqb1_05_277	0.1	0.1	0.1
hla_dqb1_05_280	0.1	0.1	0.1
hla_dqb1_05_286	0.1	0.1	0.1
hla_dqb1_05_289	0.1	0.1	0.1
hla_dqb1_05_292	0.1	0.1	0.1
hla_dqb1_05_296	0.1	0.1	0.1
hla_dqb1_05_31	0.1	0.1	0.1
hla_dqb1_05_52	0.1	0.1	0.1
hla_dqb1_05_55	0.1	0.1	0.1
hla_dqb1_05_57	0.1	0.1	0.1
hla_dqb1_05_69	0.1	0.1	0.1
hla_dqb1_05_78	0.1	0.1	0.1
hla_dqb1_05_84	0.1	0.1	0.1
hla_dqb1_05_97	0.1	0.1	0.1
hla_dqb1_06_01	0.1	0.1	0.1
hla_dqb1_06_02	0.1	0.1	0.1
hla_dqb1_06_03	0.1	0.1	0.1
hla_dqb1_06_04	0.1	0.1	0.1
hla_dqb1_06_07	0.1	0.1	0.1
hla_dqb1_06_08	0.1	0.1	0.1
hla_dqb1_06_09	0.1	0.1	0.1
hla_dqb1_06_10	0.1	0.1	0.1
hla_dqb1_06_103	0.1	0.1	0.1
hla_dqb1_06_107	0.1	0.1	0.1
hla_dqb1_06_109	0.1	0.1	0.1
hla_dqb1_06_11	0.1	0.1	0.1
hla_dqb1_06_110	0.1	0.1	0.1
hla_dqb1_06_111	0.1	0.1	0.1
hla_dqb1_06_117	0.1	0.1	0.1
hla_dqb1_06_118	0.1	0.1	0.1
hla_dqb1_06_12	0.1	0.1	0.1
hla_dqb1_06_125	0.1	0.1	0.1
hla_dqb1_06_127	0.1	0.1	0.1
hla_dqb1_06_13	0.1	0.1	0.1
hla_dqb1_06_14	0.1	0.1	0.1
hla_dqb1_06_15	0.1	0.1	0.1
hla_dqb1_06_16	0.1	0.1	0.1
hla_dqb1_06_164	0.1	0.1	0.1
hla_dqb1_06_171	0.1	0.1	0.1
hla_dqb1_06_185	0.1	0.1	0.1
hla_dqb1_06_187	0.1	0.1	0.1
hla_dqb1_06_188	0.1	0.1	0.1
hla_dqb1_06_19	0.1	0.1	0.1
hla_dqb1_06_20	0.1	0.1	0.1
hla_dqb1_06_21	0.1	0.1	0.1
hla_dqb1_06_217	0.1	0.1	0.1
hla_dqb1_06_218	0.1	0.1	0.1
hla_dqb1_06_224	0.1	0.1	0.1
hla_dqb1_06_226	0.1	0.1	0.1
hla_dqb1_06_243	0.1	0.1	0.1
hla_dqb1_06_27	0.1	0.1	0.1
hla_dqb1_06_28	0.1	0.1	0.1
hla_dqb1_06_286	0.1	0.1	0.1
hla_dqb1_06_288	0.1	0.1	0.1
hla_dqb1_06_293	0.1	0.1	0.1
hla_dqb1_06_298	0.1	0.1	0.1
hla_dqb1_06_304n	0.1	0.1	0.1
hla_dqb1_06_306n	0.1	0.1	0.1
hla_dqb1_06_317n	0.1	0.1	0.1
hla_dqb1_06_33	0.1	0.1	0.1
hla_dqb1_06_34	0.1	0.1	0.1
hla_dqb1_06_352	0.1	0.1	0.1
hla_dqb1_06_36	0.1	0.1	0.1
hla_dqb1_06_37	0.1	0.1	0.1
hla_dqb1_06_38	0.1	0.1	0.1
hla_dqb1_06_384	0.1	0.1	0.1
hla_dqb1_06_39	0.1	0.1	0.1
hla_dqb1_06_395	0.1	0.1	0.1
hla_dqb1_06_397n	0.1	0.1	0.1
hla_dqb1_06_399	0.1	0.1	0.1
hla_dqb1_06_406	0.1	0.1	0.1
hla_dqb1_06_41	0.1	0.1	0.1
hla_dqb1_06_411	0.1	0.1	0.1
hla_dqb1_06_424	0.1	0.1	0.1
hla_dqb1_06_44	0.1	0.1	0.1
hla_dqb1_06_455	0.1	0.1	0.1
hla_dqb1_06_46	0.1	0.1	0.1
hla_dqb1_06_48	0.1	0.1	0.1
hla_dqb1_06_49	0.1	0.1	0.1
hla_dqb1_06_73	0.1	0.1	0.1
hla_dqb1_06_74	0.1	0.1	0.1
hla_dqb1_06_75n	0.1	0.1	0.1
hla_dqb1_06_84	0.1	0.1	0.1
hla_dqb1_06_88	0.1	0.1	0.1
hla_dqb1_06_90	0.1	0.1	0.1
hla_dqb2_01_01	0.1	0.1	0.1
hla_dqb2_01_02	0.1	0.1	0.1
hla_dqb2_01_03	0.1	0.1	0.1
hla_dqb2_01_08	0.1	0.1	0.1
hla_drb1_01_01	0.1	0.1	0.1
hla_drb1_01_02	0.1	0.1	0.1
hla_drb1_01_03	0.1	0.1	0.1
hla_drb1_01_07	0.1	0.1	0.1
hla_drb1_01_115	0.1	0.1	0.1
hla_drb1_01_117	0.1	0.1	0.1
hla_drb1_01_122	0.1	0.1	0.1
hla_drb1_01_77	0.1	0.1	0.1
hla_drb1_01_82	0.1	0.1	0.1
hla_drb1_01_91q	0.1	0.1	0.1
hla_drb1_03_01	0.1	0.1	0.1
hla_drb1_03_02	0.1	0.1	0.1
hla_drb1_03_04	0.1	0.1	0.1
hla_drb1_03_05	0.1	0.1	0.1
hla_drb1_03_06	0.1	0.1	0.1
hla_drb1_03_07	0.1	0.1	0.1
hla_drb1_03_124	0.1	0.1	0.1
hla_drb1_03_13	0.1	0.1	0.1
hla_drb1_03_132	0.1	0.1	0.1
hla_drb1_03_15	0.1	0.1	0.1
hla_drb1_03_23	0.1	0.1	0.1
hla_drb1_04_01	0.1	0.1	0.1
hla_drb1_04_02	0.1	0.1	0.1
hla_drb1_04_03	0.1	0.1	0.1
hla_drb1_04_04	0.1	0.1	0.1
hla_drb1_04_05	0.1	0.1	0.1
hla_drb1_04_06	0.1	0.1	0.1
hla_drb1_04_07	0.1	0.1	0.1
hla_drb1_04_08	0.1	0.1	0.1
hla_drb1_04_09	0.1	0.1	0.1
hla_drb1_04_10	0.1	0.1	0.1
hla_drb1_04_11	0.1	0.1	0.1
hla_drb1_04_12	0.1	0.1	0.1
hla_drb1_04_13	0.1	0.1	0.1
hla_drb1_04_14	0.1	0.1	0.1
hla_drb1_04_15	0.1	0.1	0.1
hla_drb1_04_16	0.1	0.1	0.1
hla_drb1_04_18	0.1	0.1	0.1
hla_drb1_04_19	0.1	0.1	0.1
hla_drb1_04_25	0.1	0.1	0.1
hla_drb1_04_26	0.1	0.1	0.1
hla_drb1_04_31	0.1	0.1	0.1
hla_drb1_04_32	0.1	0.1	0.1
hla_drb1_04_335	0.1	0.1	0.1
hla_drb1_04_350	0.1	0.1	0.1
hla_drb1_04_351	0.1	0.1	0.1
hla_drb1_04_354	0.1	0.1	0.1
hla_drb1_04_38	0.1	0.1	0.1
hla_drb1_04_50	0.1	0.1	0.1
hla_drb1_07_01	0.1	0.1	0.1
hla_drb1_07_03	0.1	0.1	0.1
hla_drb1_07_04	0.1	0.1	0.1
hla_drb1_07_07	0.1	0.1	0.1
hla_drb1_07_10n	0.1	0.1	0.1
hla_drb1_07_34	0.1	0.1	0.1
hla_drb1_08_01	0.1	0.1	0.1
hla_drb1_08_02	0.1	0.1	0.1
hla_drb1_08_03	0.1	0.1	0.1
hla_drb1_08_04	0.1	0.1	0.1
hla_drb1_08_06	0.1	0.1	0.1
hla_drb1_08_07	0.1	0.1	0.1
hla_drb1_08_08	0.1	0.1	0.1
hla_drb1_08_09	0.1	0.1	0.1
hla_drb1_08_10	0.1	0.1	0.1
hla_drb1_08_105	0.1	0.1	0.1
hla_drb1_08_11	0.1	0.1	0.1
hla_drb1_08_13	0.1	0.1	0.1
hla_drb1_08_14	0.1	0.1	0.1
hla_drb1_08_16	0.1	0.1	0.1
hla_drb1_08_17	0.1	0.1	0.1
hla_drb1_08_18	0.1	0.1	0.1
hla_drb1_08_26	0.1	0.1	0.1
hla_drb1_08_35	0.1	0.1	0.1
hla_drb1_08_77	0.1	0.1	0.1
hla_drb1_09_01	0.1	0.1	0.1
hla_drb1_09_20	0.1	0.1	0.1
hla_drb1_10_01	0.1	0.1	0.1
hla_drb1_10_19	0.1	0.1	0.1
hla_drb1_11_01	0.1	0.1	0.1
hla_drb1_11_02	0.1	0.1	0.1
hla_drb1_11_03	0.1	0.1	0.1
hla_drb1_11_04	0.1	0.1	0.1
hla_drb1_11_05	0.1	0.1	0.1
hla_drb1_11_06	0.1	0.1	0.1
hla_drb1_11_08	0.1	0.1	0.1
hla_drb1_11_09	0.1	0.1	0.1
hla_drb1_11_11	0.1	0.1	0.1
hla_drb1_11_12	0.1	0.1	0.1
hla_drb1_11_129	0.1	0.1	0.1
hla_drb1_11_13	0.1	0.1	0.1
hla_drb1_11_14	0.1	0.1	0.1
hla_drb1_11_15	0.1	0.1	0.1
hla_drb1_11_16	0.1	0.1	0.1
hla_drb1_11_17	0.1	0.1	0.1
hla_drb1_11_18	0.1	0.1	0.1
hla_drb1_11_19	0.1	0.1	0.1
hla_drb1_11_198	0.1	0.1	0.1
hla_drb1_11_21	0.1	0.1	0.1
hla_drb1_11_228	0.1	0.1	0.1
hla_drb1_11_24	0.1	0.1	0.1
hla_drb1_11_25	0.1	0.1	0.1
hla_drb1_11_27	0.1	0.1	0.1
hla_drb1_11_28	0.1	0.1	0.1
hla_drb1_11_284	0.1	0.1	0.1
hla_drb1_11_29	0.1	0.1	0.1
hla_drb1_11_291	0.1	0.1	0.1
hla_drb1_11_301n	0.1	0.1	0.1
hla_drb1_11_34	0.1	0.1	0.1
hla_drb1_11_36	0.1	0.1	0.1
hla_drb1_11_37	0.1	0.1	0.1
hla_drb1_11_39	0.1	0.1	0.1
hla_drb1_11_43	0.1	0.1	0.1
hla_drb1_12_01	0.1	0.1	0.1
hla_drb1_12_02	0.1	0.1	0.1
hla_drb1_13_01	0.1	0.1	0.1
hla_drb1_13_02	0.1	0.1	0.1
hla_drb1_13_03	0.1	0.1	0.1
hla_drb1_13_04	0.1	0.1	0.1
hla_drb1_13_05	0.1	0.1	0.1
hla_drb1_13_06	0.1	0.1	0.1
hla_drb1_13_07	0.1	0.1	0.1
hla_drb1_13_08	0.1	0.1	0.1
hla_drb1_13_10	0.1	0.1	0.1
hla_drb1_13_11	0.1	0.1	0.1
hla_drb1_13_117	0.1	0.1	0.1
hla_drb1_13_12	0.1	0.1	0.1
hla_drb1_13_14	0.1	0.1	0.1
hla_drb1_13_15	0.1	0.1	0.1
hla_drb1_13_16	0.1	0.1	0.1
hla_drb1_13_17	0.1	0.1	0.1
hla_drb1_13_18	0.1	0.1	0.1
hla_drb1_13_19	0.1	0.1	0.1
hla_drb1_13_20	0.1	0.1	0.1
hla_drb1_13_208	0.1	0.1	0.1
hla_drb1_13_21	0.1	0.1	0.1
hla_drb1_13_22	0.1	0.1	0.1
hla_drb1_13_227	0.1	0.1	0.1
hla_drb1_13_236	0.1	0.1	0.1
hla_drb1_13_24	0.1	0.1	0.1
hla_drb1_13_26	0.1	0.1	0.1
hla_drb1_13_27	0.1	0.1	0.1
hla_drb1_13_282	0.1	0.1	0.1
hla_drb1_13_29	0.1	0.1	0.1
hla_drb1_13_303	0.1	0.1	0.1
hla_drb1_13_304	0.1	0.1	0.1
hla_drb1_13_320	0.1	0.1	0.1
hla_drb1_13_36	0.1	0.1	0.1
hla_drb1_13_38	0.1	0.1	0.1
hla_drb1_13_56	0.1	0.1	0.1
hla_drb1_14_01	0.1	0.1	0.1
hla_drb1_14_02	0.1	0.1	0.1
hla_drb1_14_03	0.1	0.1	0.1
hla_drb1_14_04	0.1	0.1	0.1
hla_drb1_14_05	0.1	0.1	0.1
hla_drb1_14_06	0.1	0.1	0.1
hla_drb1_14_07	0.1	0.1	0.1
hla_drb1_14_08	0.1	0.1	0.1
hla_drb1_14_09	0.1	0.1	0.1
hla_drb1_14_10	0.1	0.1	0.1
hla_drb1_14_11	0.1	0.1	0.1
hla_drb1_14_12	0.1	0.1	0.1
hla_drb1_14_14	0.1	0.1	0.1
hla_drb1_14_141	0.1	0.1	0.1
hla_drb1_14_15	0.1	0.1	0.1
hla_drb1_14_16	0.1	0.1	0.1
hla_drb1_14_17	0.1	0.1	0.1
hla_drb1_14_18	0.1	0.1	0.1
hla_drb1_14_19	0.1	0.1	0.1
hla_drb1_14_20	0.1	0.1	0.1
hla_drb1_14_21	0.1	0.1	0.1
hla_drb1_14_224	0.1	0.1	0.1
hla_drb1_14_23	0.1	0.1	0.1
hla_drb1_14_24	0.1	0.1	0.1
hla_drb1_14_243	0.1	0.1	0.1
hla_drb1_14_46	0.1	0.1	0.1
hla_drb1_14_54	0.1	0.1	0.1
hla_drb1_15_01	0.1	0.1	0.1
hla_drb1_15_02	0.1	0.1	0.1
hla_drb1_15_03	0.1	0.1	0.1
hla_drb1_15_04	0.1	0.1	0.1
hla_drb1_15_06	0.1	0.1	0.1
hla_drb1_15_07	0.1	0.1	0.1
hla_drb1_15_18	0.1	0.1	0.1
hla_drb1_15_185	0.1	0.1	0.1
hla_drb1_15_188	0.1	0.1	0.1
hla_drb1_16_01	0.1	0.1	0.1
hla_drb1_16_02	0.1	0.1	0.1
hla_drb1_16_04	0.1	0.1	0.1
hla_drb1_16_05	0.1	0.1	0.1
hla_drb1_16_07	0.1	0.1	0.1
hla_drb1_16_09	0.1	0.1	0.1
hla_drb1_16_64	0.1	0.1	0.1
hla_drb2_01_01	0.1	0.1	0.1
hla_drb3_01_01	0.1	0.1	0.1
hla_drb3_01_62	0.1	0.1	0.1
hla_drb3_02_01	0.1	0.1	0.1
hla_drb3_02_02	0.1	0.1	0.1
hla_drb3_02_178	0.1	0.1	0.1
hla_drb3_02_188	0.1	0.1	0.1
hla_drb3_02_22	0.1	0.1	0.1
hla_drb3_02_24	0.1	0.1	0.1
hla_drb3_02_25	0.1	0.1	0.1
hla_drb3_02_32	0.1	0.1	0.1
hla_drb3_03_01	0.1	0.1	0.1
hla_drb4_01_01	0.1	0.1	0.1
hla_drb4_01_02	0.1	0.1	0.1
hla_drb4_01_03	0.1	0.1	0.1
hla_drb4_01_14n	0.1	0.1	0.1
hla_drb4_02_01n	0.1	0.1	0.1
hla_drb4_03_01n	0.1	0.1	0.1
hla_drb5_01_01	0.1	0.1	0.1
hla_drb5_01_02	0.1	0.1	0.1
hla_drb5_01_03	0.1	0.1	0.1
hla_drb5_01_08	0.1	0.1	0.1
hla_drb5_01_53n	0.1	0.1	0.1
hla_drb5_02_02	0.1	0.1	0.1
hla_drb7_01_01	0.1	0.1	0.1
